# Wavelength calibration coefficients
#   JAZA2312	    JAZA2313	    JAZA2314
 398.7373405	 521.6808372	 686.1181356
 0.082935901	 0.113630311	 0.173947902
-8.98472E-06	-1.25218E-05	-0.000015120
 0.00000E-00	-8.61566E-11	-5.08620E-10
