403.68	185.47	0.00034416	528.40	8016.6	3.6694e-05	696.50	6982.4	9.9056e-05
403.76	168.06	0.00038036	528.51	7635.7	3.8559e-05	696.67	7236.5	9.5627e-05
403.85	154.99	0.00041311	528.63	7957.5	3.7036e-05	696.84	7143.9	9.6917e-05
403.93	170.23	0.00037666	528.74	7697.3	3.8322e-05	697.02	7181.8	9.6458e-05
404.01	202.89	0.00031648	528.85	8054.5	3.6655e-05	697.19	7374.2	9.3990e-05
404.09	211.60	0.00030389	528.96	7926.8	3.7279e-05	697.36	7084.5	9.7884e-05
404.17	279.10	0.00023073	529.08	8156.2	3.6266e-05	697.53	7260.2	9.5564e-05
404.25	266.03	0.00024241	529.19	7985.9	3.7072e-05	697.70	7189.0	9.6563e-05
404.33	246.44	0.00026205	529.30	7940.9	3.7316e-05	697.88	7198.5	9.6485e-05
404.42	218.13	0.00029653	529.41	7806.1	3.7994e-05	698.05	7336.2	9.4723e-05
404.50	235.55	0.00027499	529.52	7988.3	3.7160e-05	698.22	6925.4	0.00010039
404.58	248.61	0.00026092	529.64	8014.3	3.7076e-05	698.39	6982.4	9.9625e-05
404.66	237.73	0.00027325	529.75	8125.5	3.6601e-05	698.56	7141.5	9.7455e-05
404.74	305.22	0.00021313	529.86	8253.2	3.6066e-05	698.74	7034.6	9.8990e-05
404.83	205.07	0.00031772	529.97	8066.3	3.6935e-05	698.91	7170.0	9.7170e-05
404.91	168.06	0.00038823	530.08	7938.6	3.7562e-05	699.08	7141.5	9.7608e-05
404.99	259.50	0.00025179	530.20	7853.4	3.8006e-05	699.25	7229.3	9.6472e-05
405.07	172.41	0.00037951	530.31	8127.9	3.6755e-05	699.42	7317.2	9.5362e-05
405.15	289.98	0.00022596	530.42	7886.5	3.7914e-05	699.59	6987.1	9.9918e-05
405.23	237.73	0.00027600	530.53	8262.7	3.6220e-05	699.77	7110.6	9.8236e-05
405.32	213.78	0.00030741	530.64	8203.6	3.6513e-05	699.94	7048.9	9.9147e-05
405.40	165.88	0.00039673	530.76	8267.4	3.6266e-05	700.11	7155.7	9.7714e-05
405.48	250.79	0.00026278	530.87	8099.5	3.7050e-05	700.28	6951.5	0.00010063
405.56	326.99	0.00020182	530.98	8196.5	3.6644e-05	700.45	7820.6	8.9489e-05
405.64	246.44	0.00026816	531.09	8120.8	3.7018e-05	700.62	7246.0	9.6630e-05
405.72	213.78	0.00030956	531.20	8224.8	3.6582e-05	700.79	7103.5	9.8613e-05
405.80	222.49	0.00029786	531.31	8019.0	3.7554e-05	700.97	7198.5	9.7360e-05
405.89	292.16	0.00022718	531.42	8016.6	3.7598e-05	701.14	7238.8	9.6862e-05
405.97	250.79	0.00026502	531.54	8281.6	3.6430e-05	701.31	7170.0	9.7837e-05
406.05	207.25	0.00032115	531.65	7978.8	3.7845e-05	701.48	7238.8	9.6951e-05
406.13	202.89	0.00032850	531.76	8090.0	3.7358e-05	701.65	7113.0	9.8712e-05
406.21	239.90	0.00027821	531.87	8191.7	3.6926e-05	701.82	7186.6	9.7746e-05
406.29	220.31	0.00030336	531.98	8064.0	3.7544e-05	701.99	7291.1	9.6389e-05
406.37	200.71	0.00033344	532.09	8345.5	3.6309e-05	702.16	7186.6	9.7835e-05
406.45	207.25	0.00032337	532.21	8198.8	3.6994e-05	702.34	7466.8	9.4210e-05
406.54	263.85	0.00025439	532.32	8355.0	3.6334e-05	702.51	7165.2	9.8220e-05
406.62	209.42	0.00032095	532.43	8357.3	3.6355e-05	702.68	7390.8	9.5266e-05
406.70	313.93	0.00021439	532.54	8248.5	3.6867e-05	702.85	7229.3	9.7439e-05
406.78	187.65	0.00035916	532.65	8281.6	3.6751e-05	703.02	7179.5	9.8160e-05
406.86	255.15	0.00026451	532.76	8362.1	3.6429e-05	703.19	7227.0	9.7559e-05
406.94	233.37	0.00028959	532.88	7914.9	3.8524e-05	703.36	7162.8	9.8479e-05
407.02	233.37	0.00028998	532.99	8052.1	3.7900e-05	703.53	7098.7	9.9414e-05
407.10	187.65	0.00036112	533.10	8153.9	3.7459e-05	703.70	7307.7	9.6615e-05
407.18	379.25	0.00017892	533.21	8430.7	3.6261e-05	703.87	7048.9	0.00010021
407.27	279.10	0.00024350	533.32	8097.1	3.7787e-05	704.04	7238.8	9.7623e-05
407.35	401.02	0.00016970	533.43	8191.7	3.7383e-05	704.22	7236.5	9.7702e-05
407.43	218.13	0.00031240	533.54	8146.8	3.7622e-05	704.39	7257.8	9.7459e-05
407.51	377.07	0.00018097	533.65	8369.2	3.6653e-05	704.56	7186.6	9.8470e-05
407.59	144.11	0.00047414	533.77	8305.3	3.6970e-05	704.73	7143.9	9.9104e-05
407.67	215.96	0.00031682	533.88	8485.1	3.6218e-05	704.90	7103.5	9.9713e-05
407.75	266.03	0.00025754	533.99	8369.2	3.6751e-05	705.07	7378.9	9.6035e-05
407.83	411.91	0.00016655	534.10	8430.7	3.6514e-05	705.24	7238.8	9.7938e-05
407.91	207.25	0.00033147	534.21	8331.3	3.6982e-05	705.41	7250.7	9.7822e-05
407.99	281.27	0.00024456	534.32	8355.0	3.6908e-05	705.58	7265.0	9.7674e-05
408.08	270.39	0.00025479	534.43	8205.9	3.7611e-05	705.75	7535.6	9.4209e-05
408.16	152.82	0.00045141	534.54	8641.2	3.5747e-05	705.92	7056.0	0.00010066
408.24	239.90	0.00028794	534.65	8470.9	3.6497e-05	706.09	7255.5	9.7935e-05
408.32	342.24	0.00020210	534.76	8501.7	3.6396e-05	706.26	7224.6	9.8399e-05
408.40	209.42	0.00033072	534.87	8383.4	3.6941e-05	706.43	7340.9	9.6884e-05
408.48	202.89	0.00034182	534.98	8343.1	3.7151e-05	706.60	7331.4	9.7054e-05
408.56	263.85	0.00026319	535.10	8712.2	3.5610e-05	706.77	7262.6	9.8018e-05
408.64	259.50	0.00026796	535.21	8295.8	3.7429e-05	706.94	7274.4	9.7903e-05
408.72	261.68	0.00026608	535.32	8395.2	3.7017e-05	707.11	7457.3	9.5545e-05
408.80	342.24	0.00020372	535.43	8366.8	3.7175e-05	707.28	7179.5	9.9287e-05
408.88	355.30	0.00019649	535.54	8584.5	3.6263e-05	707.45	7333.8	9.7242e-05
408.96	387.96	0.00018018	535.65	8395.2	3.7112e-05	707.62	7231.7	9.8660e-05
409.05	274.74	0.00025481	535.76	8565.5	3.6405e-05	707.79	7134.4	0.00010005
409.13	246.44	0.00028445	535.87	8615.2	3.6225e-05	707.96	7338.5	9.7315e-05
409.21	353.12	0.00019878	535.98	8527.7	3.6628e-05	708.13	7345.7	9.7263e-05
409.29	303.04	0.00023193	536.09	8525.3	3.6669e-05	708.30	7203.2	9.9230e-05
409.37	326.99	0.00021522	536.20	8726.4	3.5854e-05	708.47	7302.9	9.7919e-05
409.45	283.45	0.00024861	536.31	8336.0	3.7565e-05	708.64	7326.7	9.7648e-05
409.53	222.49	0.00031714	536.42	8373.9	3.7427e-05	708.81	7300.6	9.8041e-05
409.61	307.40	0.00022984	536.53	8496.9	3.6916e-05	708.98	7329.1	9.7701e-05
409.69	287.80	0.00024581	536.65	8411.7	3.7324e-05	709.15	7212.7	9.9323e-05
409.77	298.69	0.00023715	536.76	8475.6	3.7074e-05	709.32	7324.3	9.7853e-05
409.85	176.76	0.00040126	536.87	8305.3	3.7866e-05	709.49	7253.1	9.8859e-05
409.93	281.27	0.00025250	536.98	8773.7	3.5874e-05	709.66	7262.6	9.8774e-05
410.01	268.21	0.00026514	537.09	8525.3	3.6951e-05	709.83	7433.5	9.6546e-05
410.09	272.56	0.00026127	537.20	8518.2	3.7013e-05	710.00	7352.8	9.7650e-05
410.17	298.69	0.00023875	537.31	8355.0	3.7767e-05	710.17	7212.7	9.9589e-05
410.25	379.25	0.00018830	537.42	8629.4	3.6597e-05	710.34	7416.9	9.6888e-05
410.33	239.90	0.00029809	537.53	8518.2	3.7105e-05	710.51	7302.9	9.8443e-05
410.41	309.58	0.00023132	537.64	8546.6	3.7013e-05	710.68	7393.2	9.7282e-05
410.49	187.65	0.00038216	537.75	8397.6	3.7701e-05	710.85	7139.1	0.00010079
410.57	235.55	0.00030487	537.86	8620.0	3.6759e-05	711.02	7416.9	9.7053e-05
410.65	220.31	0.00032642	537.97	8364.4	3.7914e-05	711.19	7374.2	9.7657e-05
410.73	200.71	0.00035879	538.08	8402.3	3.7774e-05	711.36	7547.5	9.5455e-05
410.82	309.58	0.00023298	538.19	8686.2	3.6570e-05	711.53	7507.1	9.6010e-05
410.89	185.47	0.00038935	538.30	8459.1	3.7583e-05	711.70	7317.2	9.8543e-05
410.98	200.71	0.00036035	538.41	8676.7	3.6671e-05	711.87	7122.5	0.00010128
411.06	235.55	0.00030747	538.52	8428.3	3.7783e-05	712.04	7307.7	9.8755e-05
411.14	309.58	0.00023427	538.63	8608.1	3.7025e-05	712.21	7526.1	9.5930e-05
411.22	270.39	0.00026859	538.74	8712.2	3.6613e-05	712.38	7621.1	9.4774e-05
411.30	283.45	0.00025657	538.85	8667.3	3.6833e-05	712.55	7305.3	9.8913e-05
411.38	296.51	0.00024561	538.96	8511.1	3.7540e-05	712.71	7374.2	9.8030e-05
411.46	250.79	0.00029078	539.07	8667.3	3.6894e-05	712.88	7419.3	9.7473e-05
411.54	331.35	0.00022039	539.18	8896.8	3.5972e-05	713.05	7302.9	9.9069e-05
411.62	296.51	0.00024662	539.29	8887.3	3.6040e-05	713.22	7409.8	9.7681e-05
411.70	296.51	0.00024696	539.40	8612.8	3.7219e-05	713.39	7355.2	9.8448e-05
411.78	268.21	0.00027339	539.51	8596.3	3.7321e-05	713.56	7196.1	0.00010067
411.86	496.82	0.00014779	539.62	8631.8	3.7198e-05	713.73	7564.1	9.5810e-05
411.94	283.45	0.00025939	539.73	8589.2	3.7413e-05	713.90	7248.3	0.00010003
412.02	337.88	0.00021790	539.84	8835.2	3.6402e-05	714.07	7333.8	9.8902e-05
412.10	224.66	0.00032816	539.95	8787.9	3.6628e-05	714.24	7671.0	9.4594e-05
412.18	259.50	0.00028449	540.06	8690.9	3.7067e-05	714.41	7338.5	9.8922e-05
412.26	272.56	0.00027122	540.17	8660.2	3.7229e-05	714.57	7317.2	9.9252e-05
412.34	377.07	0.00019632	540.28	8679.1	3.7178e-05	714.74	7378.9	9.8461e-05
412.42	215.96	0.00034323	540.39	8660.2	3.7290e-05	714.91	7507.1	9.6820e-05
412.50	309.58	0.00023976	540.49	8861.3	3.6470e-05	715.08	7481.0	9.7199e-05
