Data from JAZbleu_14-20-14-165.txt Node
Date: Fri Jan 11 14:20:14 CET 2019
User: Mistral4
Spectrometer: JAZA2312
Trigger mode: 0
Integration Time (sec): 1.000000E0
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
398.737	-171.59
398.82	-171.59
398.903	-171.59
398.986	-62.73
399.069	-123.69
399.152	-3.95
399.235	0.41
399.317	72.26
399.4	-6.12
399.483	52.66
399.566	43.95
399.649	30.89
399.731	33.07
399.814	13.47
399.897	15.65
399.979	-23.54
400.062	22.18
400.145	107.09
400.227	107.09
400.31	89.68
400.392	20
400.475	-6.12
400.558	-71.44
400.64	9.12
400.723	20
400.805	187.65
400.888	137.57
400.97	183.3
401.053	122.33
401.135	157.17
401.217	115.8
401.3	215.96
401.382	242.08
401.464	233.37
401.547	107.09
401.629	387.96
401.711	233.37
401.794	178.94
401.876	252.97
401.958	231.2
402.04	161.52
402.123	246.44
402.205	259.5
402.287	148.46
402.369	115.8
402.451	196.36
402.533	229.02
402.615	281.27
402.698	231.2
402.78	224.66
402.862	233.37
402.944	178.94
403.026	433.68
403.108	181.12
403.19	187.65
403.272	213.78
403.354	215.96
403.436	261.68
403.517	298.69
403.599	270.39
403.681	185.47
403.763	168.06
403.845	154.99
403.927	170.23
404.008	202.89
404.09	211.6
404.172	279.1
404.254	266.03
404.335	246.44
404.417	218.13
404.499	235.55
404.581	248.61
404.662	237.73
404.744	305.22
404.825	205.07
404.907	168.06
404.989	259.5
405.07	172.41
405.152	289.98
405.233	237.73
405.315	213.78
405.396	165.88
405.478	250.79
405.559	326.99
405.641	246.44
405.722	213.78
405.803	222.49
405.885	292.16
405.966	250.79
406.047	207.25
406.129	202.89
406.21	239.9
406.291	220.31
406.373	200.71
406.454	207.25
406.535	263.85
406.616	209.42
406.698	313.93
406.779	187.65
406.86	255.15
406.941	233.37
407.022	233.37
407.103	187.65
407.184	379.25
407.266	279.1
407.347	401.02
407.428	218.13
407.509	377.07
407.59	144.11
407.671	215.96
407.752	266.03
407.833	411.91
407.913	207.25
407.994	281.27
408.075	270.39
408.156	152.82
408.237	239.9
408.318	342.24
408.399	209.42
408.479	202.89
408.56	263.85
